,anio,mes,dia,hora,minuto,segundo,id_estacion,voltaje_sistema,nivel_mar_leveltrol,nivel_mar_burbujeador,sw_1,sw_2,temperatura_agua,nivel_mar_ott_rsl,radiacion_solar,direccion_viento,magnitud_viendo,temperatura_aire,humedad_relativa,presion_atmosferica,precipitacion,voltaje_estacion_met,nivel_mar_sutron
60,2011,1.0,1.0,1.0,1.0,0.0,101.0,12.44,2.064,2.275,0.0,1.0,16.29,9.999,9999.9,999.0,99.9,13.7,999.9,1019.3,999.99,99.9,9.999
61,2011,1.0,1.0,1.0,2.0,0.0,101.0,12.43,2.06,2.271,0.0,1.0,16.29,9.999,9999.9,999.0,99.9,13.7,999.9,1019.27,999.99,99.9,9.999
62,2011,1.0,1.0,1.0,3.0,0.0,101.0,12.44,2.051,2.27,0.0,1.0,16.3,9.999,9999.9,999.0,99.9,13.7,999.9,1019.32,999.99,99.9,9.999
63,2011,1.0,1.0,1.0,4.0,0.0,101.0,12.44,2.06,2.276,0.0,1.0,16.3,9.999,9999.9,999.0,99.9,13.7,999.9,1019.4,999.99,99.9,9.999
64,2011,1.0,1.0,1.0,5.0,0.0,101.0,12.44,2.074,2.26,0.0,1.0,16.3,9.999,9999.9,999.0,99.9,13.7,999.9,1019.43,999.99,99.9,9.999
65,2011,1.0,1.0,1.0,6.0,0.0,101.0,12.44,2.085,2.246,0.0,1.0,16.32,9.999,9999.9,999.0,99.9,13.6,999.9,1019.44,999.99,99.9,9.999
66,2011,1.0,1.0,1.0,7.0,0.0,101.0,12.43,2.094,2.234,0.0,1.0,16.32,9.999,9999.9,999.0,99.9,13.6,999.9,1019.46,999.99,99.9,9.999
67,2011,1.0,1.0,1.0,8.0,0.0,101.0,12.43,2.105,2.23,0.0,1.0,16.32,9.999,9999.9,999.0,99.9,13.6,999.9,1019.5,999.99,99.9,9.999
68,2011,1.0,1.0,1.0,9.0,0.0,101.0,12.43,2.112,2.217,0.0,1.0,16.32,9.999,9999.9,999.0,99.9,13.7,999.9,1019.49,999.99,99.9,9.999
69,2011,1.0,1.0,1.0,10.0,0.0,101.0,12.43,2.114,2.215,0.0,1.0,16.32,9.999,9999.9,999.0,99.9,13.7,999.9,1019.5,999.99,99.9,9.999
70,2011,1.0,1.0,1.0,11.0,0.0,101.0,12.43,2.123,2.22,0.0,1.0,16.32,9.999,9999.9,999.0,99.9,13.7,999.9,1019.55,999.99,99.9,9.999
71,2011,1.0,1.0,1.0,12.0,0.0,101.0,12.43,2.143,2.2,0.0,1.0,16.32,9.999,9999.9,999.0,99.9,13.7,999.9,1019.54,999.99,99.9,9.999
72,2011,1.0,1.0,1.0,13.0,0.0,101.0,12.43,2.139,2.19,0.0,1.0,16.32,9.999,9999.9,999.0,99.9,13.7,999.9,1019.53,999.99,99.9,9.999
73,2011,1.0,1.0,1.0,14.0,0.0,101.0,12.43,2.137,2.212,0.0,1.0,16.33,9.999,9999.9,999.0,99.9,13.7,999.9,1019.55,999.99,99.9,9.999
74,2011,1.0,1.0,1.0,15.0,0.0,101.0,12.43,2.148,2.195,0.0,1.0,16.33,9.999,9999.9,999.0,99.9,13.7,999.9,1019.57,999.99,99.9,9.999
75,2011,1.0,1.0,1.0,16.0,0.0,101.0,12.43,2.148,2.185,0.0,1.0,16.33,9.999,9999.9,999.0,99.9,13.7,999.9,1019.6,999.99,99.9,9.999
76,2011,1.0,1.0,1.0,17.0,0.0,101.0,12.43,2.136,2.194,0.0,1.0,16.33,9.999,9999.9,999.0,99.9,13.7,999.9,1019.6,999.99,99.9,9.999
77,2011,1.0,1.0,1.0,18.0,0.0,101.0,12.43,2.146,2.196,0.0,1.0,16.33,9.999,9999.9,999.0,99.9,13.7,999.9,1019.6,999.99,99.9,9.999
78,2011,1.0,1.0,1.0,19.0,0.0,101.0,12.43,2.143,2.198,0.0,1.0,16.33,9.999,9999.9,999.0,99.9,13.7,999.9,1019.61,999.99,99.9,9.999
79,2011,1.0,1.0,1.0,20.0,0.0,101.0,12.42,2.133,2.201,0.0,1.0,16.34,9.999,9999.9,999.0,99.9,13.6,999.9,1019.61,999.99,99.9,9.999
80,2011,1.0,1.0,1.0,21.0,0.0,101.0,12.42,2.147,2.194,0.0,1.0,16.34,9.999,9999.9,999.0,99.9,13.6,999.9,1019.65,999.99,99.9,9.999
81,2011,1.0,1.0,1.0,22.0,0.0,101.0,12.42,2.153,2.19,0.0,1.0,16.35,9.999,9999.9,999.0,99.9,13.6,999.9,1019.68,999.99,99.9,9.999
82,2011,1.0,1.0,1.0,23.0,0.0,101.0,12.42,2.153,2.189,0.0,1.0,16.34,9.999,9999.9,999.0,99.9,13.6,999.9,1019.69,999.99,99.9,9.999
83,2011,1.0,1.0,1.0,24.0,0.0,101.0,12.42,2.158,2.175,0.0,1.0,16.33,9.999,9999.9,999.0,99.9,13.6,999.9,1019.73,999.99,99.9,9.999
84,2011,1.0,1.0,1.0,25.0,0.0,101.0,12.42,2.164,2.174,0.0,1.0,16.34,9.999,9999.9,999.0,99.9,13.6,999.9,1019.71,999.99,99.9,9.999
85,2011,1.0,1.0,1.0,26.0,0.0,101.0,12.42,2.168,2.172,0.0,1.0,16.33,9.999,9999.9,999.0,99.9,13.5,999.9,1019.71,999.99,99.9,9.999
